Name,Title,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es,Description,Rarity,Element,Effect_type,Description_en,Description_zh,Description_ja,Description_es,no
Topaz of Generosity,Grateful Return,업보의 토양,증폭된 보답,因果之土,放大回报,業の土壌,増幅された報い,Suelo de Karma,Recompensa Amplificada,베푼 것 이상의 보답이 반드시 돌아오는 카르마의 땅을 만듭니다. 작은 호의가 나중에 거대한 사업적 계약이나 목숨을 구하는 도움으로 되돌아오는 선순환의 고리를 완성합니다.,rare,earth,"(신용, 자산, 견고한 기반)","Creates a 'Land of Karma' where small favors returned are multiplied, eventually returning as massive opportunities.",创造一片‘因果之地’，任何施予的小恩惠都会得到数倍的回报，最终转化为巨大的商务机会。,施した以上の報いが必ず返ってくる「カルマの地」を作り、小さな親切を巨大なチャンスとして戻します。,"Crea una 'Tierra de Karma' donde los pequeños favores otorgados se multiplican, regresando como grandes oportunidades.",35
Heart of the Continent,Sovereign Wealth,절대 방어의 보루,불침의 자산,绝对防御堡垒,不沉资产,絶対防御の要塞,不沈の資産,Bastión de Defensa Absoluta,Activo Inquebrantable,"전 세계 시장이 흔들려도 소지자의 자산만은 요지부동입니다. 금보다 안전하고 부동산보다 견고한 경제적 요새를 구축하여, 대공황이 와도 가문 전체가 풍족하게 살 수 있는 기반을 다집니다.",epic,earth,"(신용, 자산, 견고한 기반)","Keeps assets immovable even if the global market shakes, creating an absolute defensive wall safer than gold.",即使全球市场动荡，持有者的资产也稳如泰山，拥有比黄金更安全、更坚固的绝对防御墙。,全世界の市場が揺れても、持ち主の資産だけは揺るぎません。金より安全で堅固な、絶対的な防衛壁を構築します。,"Mantiene los activos inamovibles incluso si el mercado global tiembla, creando una barrera defensiva más segura que el oro.",36
Ironwood Contract,Inviolable Trust,운명의 구속석,강철의 신뢰,命运束缚石,坚不可摧的信任,運命の束縛石,揺るぎない信頼,Piedra de Vínculo de Destino,Confianza Inviolable,모든 파트너십을 상호 신뢰와 이익이 보장되는 견고한 관계로 만들어 서로 최고의 시너지를 내는 환경을 조성합니다.,epic,earth,"(신용, 자산, 견고한 기반)","Strengthens partnerships into robust, trust-based relationships, fostering an environment for maximum synergy.",将伙伴关系加强为稳固、基于信任的关系，营造发挥最大协同效应的环境。,あらゆるパートナーシップを相互信頼と利益が保証される堅固な関係に変え、最高のシナジーを生む環境を整えます。,"Fortalece las asociaciones en relaciones robustas basadas en la confianza, fomentando la máxima sinergia.",37
Adamantine Foundation,Indestructible Life,다이아몬드 불멸성,불굴의 복원력,金刚不朽性,不屈弹性,金剛の不滅性,不屈の復元力,Inmortalidad de Diamante,Resiliencia Inquebrantable,"사회적, 경제적, 신체적 어떤 측면에서도 '무너짐'이 없는 존재가 됩니다. 어떠한 공격이나 재앙도 소지자의 삶이라는 거대한 성벽을 뚫지 못하며, 절대적인 안전지대를 창조합니다.",legendary,earth,"(신용, 자산, 견고한 기반)","Ensures the holder never 'collapses' in social or economic aspects, bouncing back with 10 times the force after any attack.",确保在社会、经济、身体的任何方面都不会‘倒下’，在任何攻击后都能以10倍的力量反弹。,社会的、経済的にいかなる側面においても「崩れ」のない存在となり、攻撃を受けても10倍の力で跳ね返します。,"Asegura que el poseedor nunca se desmorone en aspectos sociales o económicos, recuperándose con 10 veces más fuerza tras un ataque.",38
Gaia’s Core Jewel,World Architect,창조주의 분광석,현실 재설계,创造者之分光石,现实重塑,創造主の分光石,現実の再設計,Prisma del Creador,Rediseño de Realidad,"세상의 물리적 법칙과 경제적 시스템을 자신의 입맛에 맞게 재설계합니다. 무에서 유를 창조하는 기업가적 능력을 넘어, 새로운 가치 체계를 세우고 인류의 삶의 방식을 결정하는 지배자가 됩니다.",legendary,earth,"(신용, 자산, 견고한 기반)","Redesigns the physical laws and economic systems of the world to the holder's taste, creating something out of nothing.",根据自己的口味重新设计世界的物理定律和经济体系，赋予从无到有创造万物的神力。,世界の物理法則と経済システムを自分の好みに再設計し、無から有を創造する神のごとき権能を具現化します。,"Rediseña las leyes físicas y los sistemas económicos del mundo al gusto del poseedor, creando algo de la nada.",39
Feather of Light Travel,Commute Ease,항해의 산들바람,신호 가속기,航行之微风,信号加速,航海の微風,信号加速器,Brisa de Navegación,Acelerador de Señales,"출퇴근길의 모든 교통 체증을 바람처럼 피해 갑니다. 소지자가 도착하는 곳마다 신호가 바뀌고 대기 시간이 사라져, 하루에 버려지는 이동 시간을 혁신적으로 단축합니다.",common,wind,"(소통, 속도, 정보 전파)","Avoids all traffic congestion like the wind, causing traffic lights to change as the holder arrives.",像风一样避开上下班路上的所有交通拥堵，每当持有者到达时信号灯就会变换，确保永不迟到。,通勤途中のあらゆる交通渋滞を風のように避け、持ち主が到着する場所の信号を操り、決して遅刻させません。,"Evita todos los atascos de tráfico como el viento, haciendo que los semáforos cambien al llegar el poseedor.",40
Zephyr of Inspiration,Idea Breeze,산들바람의 영감,창의적 벼락,灵感之微风,创意之霆,霊感の微風,創造の雷光,Brisa de Inspiración,Rayo Creativo,산책 중이나 샤워 중에 뇌를 자극하는 신선한 아이디어를 배달해 줍니다. 막혔던 기획안의 실마리가 바람을 타듯 가볍게 떠올라 창조적인 스트레스를 말끔히 해소해 줍니다.,common,wind,"(소통, 속도, 정보 전파)","Delivers fresh ideas that stimulate the brain during walks or showers, revealing solutions like a flash of lightning.",在散步或洗澡时送达刺激大脑的新鲜创意，像闪电般揭开陷入僵局的策划或创作的谜底。,散歩中やシャワー中に脳を刺激するアイデアを届け、行き詰まっていた解決策を雷のように閃かせます。,"Entrega ideas frescas que estimulan el cerebro durante paseos o duchas, revelando soluciones como un rayo de luz.",41
Whisper of Social Context,Atmosphere Reader,통찰의 바람,사교의 주역,洞察之风,社交主角,洞察の風,社交の主役,Viento de Perspicacia,Protagonista Social,"모임의 분위기와 사람들의 속마음을 바람의 흐름처럼 읽어냅니다. 지금 내가 무슨 말을 해야 환영받을지, 혹은 입을 다물어야 할지 정확히 판단하게 하여 사교의 달인이 되게 합니다.",common,wind,"(소통, 속도, 정보 전파)","Reads the atmosphere of a gathering and people's inner thoughts like the wind, instinctively knowing what to say.",像风的流动一样读取聚会的气氛和人们的内心，本能地知道该说什么来成为主角。,集まりの雰囲気と人々の本音を風の流れのように読み取り、今何を言うべきか本能的に察知させます。,"Lee la atmósfera de una reunión y los pensamientos de las personas como el viento, sabiendo instintivamente qué decir.",42
Gale of Rapid Working,Windspeed Tasker,가속의 돌풍,삼배속의 위력,加速之狂风,三倍速之威,加速の疾風,三倍速の威力,Vendaval de Aceleración,Triple Velocidad,"타이핑 속도와 사고 회로를 3배 이상 가속합니다. 남들이 하루 종일 걸릴 분량의 리포트나 코딩을 단 몇 시간 만에 끝내게 하며, 여유로운 오후를 보낼 수 있는 자유를 선사합니다.",uncommon,wind,"(소통, 속도, 정보 전파)","Accelerates typing speed and thought processes by more than 3 times, completing a whole day's work in one hour.",将打字速度和思维回路加速3倍以上，使他人需要一整天处理的报告或文件在1小时内完成。,タイピング速度と思考回路を3倍以上加速させ、他人が一日かかる文書を一時間以内に完遂させます。,"Acelera la velocidad de escritura y los procesos de pensamiento más de 3 veces, completando el trabajo de un día en una hora.",43
Aether Link of Language,Global Tongue,언어 습득의 미풍,어감의 달인,语言学习之轻风,语感大师,語学習得の微風,ニュアンスの達人,Céfiro de Aprendizaje,Maestro del Matiz,낯선 외국어나 전문 용어를 습득하는 속도가 비약적으로 상승합니다. 원어민의 뉘앙스를 바람처럼 부드럽게 캐치하여 소통의 장벽을 허물고 전 세계 어디서든 당당히 대화하게 돕습니다.,uncommon,wind,"(소통, 속도, 정보 전파)","Vastly increases the speed of acquiring foreign languages or technical terms, grasping native nuances like the wind.",飞跃式提高学习陌生外语或专业术语的速度，像风一样掌握母语者的语感。,見知らぬ外国語や専門用語を習得する速度を飛躍的に高め、ネイティブのニュアンスを風のように掴み取ります。,"Aumenta enormemente la velocidad de aprendizaje de idiomas o términos técnicos, captando matices nativos como el viento.",44
Draft of Market Agility,Pivot Master,전환의 바람,전략적 유연함,转型之风,战略灵活性,転換の風,戦略的柔軟性,Viento de Giro,Flexibilidad Estratégica,"상황 변화에 맞춰 사업이나 투자 방향을 즉각적으로 전환하는 유연함을 줍니다. 고집 부리다 망하는 대신, 바람의 방향을 타고 가장 이익이 되는 곳으로 빠르게 옮겨가는 민첩성을 부여합니다.",uncommon,wind,"(소통, 속도, 정보 전파)",Provides the flexibility to switch business or investment directions according to changes in the environment.,赋予根据环境变化立即切换业务或投资方向的灵活性，防止因固执造成的损失。,状況の変化に合わせて事業や投資の方向を即座に転換する柔軟性を与え、損を避けて利益の道へと乗り換えさせます。,Proporciona la flexibilidad para cambiar las direcciones de negocio o inversión según los cambios en el entorno.,45
Cyclone of Viral Fame,Digital Tempest,확산의 태풍,무비용 홍보,传播之飓风,零成本营销,拡散の台風,宣伝費ゼロの伝播,Tifón de Viralidad,Mercadeo Sin Costo,"SNS에 올린 작은 게시물이 태풍처럼 전 세계로 퍼져나갑니다. 마케팅 비용 없이도 수백만 명의 관심을 사로잡으며, 하룻밤 사이에 글로벌 인플루언서나 명사로 등극하게 만드는 전파력을 줍니다.",rare,wind,"(소통, 속도, 정보 전파)","Causes a small post on social media to spread across the world like a typhoon, creating viral effects without marketing costs.",在社交媒体上发布的小帖子像台风一样传遍全球，无需营销费用即可创造数百万的点击量和病毒效应。,SNSに投稿した小さな投稿が台風のように全世界へ広がり、広告費なしで数百万のアクセスと爆발적인 바이럴 효과를 일으킵니다. (수정: 爆発的な拡散を引き起こします),"Hace que una pequeña publicación en las redes sociales se extienda por el mundo como un tifón, creando efectos virales masivos.",46
Sky-Gate Opal,Logistics Overlord,무역풍의 효율,자원 통제자,贸易风之效能,资源掌控者,貿易風の効率,資源の統制者,Eficiencia Alisia,Controlador de Recursos,"물류, 유통, 무역 분야에서 압도적인 효율성을 발휘합니다. 전 세계의 자원이 소지자가 원하는 곳으로 가장 저렴하고 빠르게 이동하며, 보이지 않는 공급망을 지배하는 유통의 제왕이 되게 합니다.",rare,wind,"(소통, 속도, 정보 전파)","Exhibits overwhelming efficiency in logistics and trade, causing global resources to move precisely as the holder desires.",在物流、配送、贸易领域发挥压倒性的效率，使全球资源按照持有者的意愿快速准确地移动。,物流、流通、貿易の分野で圧倒的な効率性を発揮し、全世界のリソースを持ち主が望む場所へ迅速かつ正確に移動させます。,"Exhibe una eficiencia abrumadora en logística y comercio, haciendo que los recursos globales se muevan según el deseo del poseedor.",47
Echo of Reputational Bloom,Fragrant Name,명성의 미풍,신뢰받는 이름,名望之微风,可信之名,名声の微風,信頼される名,Brisa de Reputación,Nombre de Confianza,"소지자의 평판이 좋은 소문을 타고 멀리 퍼져나갑니다. 직접 만나지 않은 사람들도 소지자의 이름을 경외하며, 미팅 전부터 이미 유리한 조건을 제시받게 하는 보이지 않는 힘을 발휘합니다.",rare,wind,"(소통, 속도, 정보 전파)","Spreads the holder's reputation far through positive rumors, making people trust the name and value before even meeting.",持有者的名声随着好评传遍四方，使人们在见到持有者之前就信任其名字和价值。,持ち主の評判が良い噂に乗って遠くまで広がり、直接会う前の人々でさえ、その名前と価値を先に信頼するようになります。,"Difunde la reputación del poseedor a través de rumores positivos, logrando que la gente confíe en su valor antes de conocerlo.",48
Eye of the Storm Sanctuary,Chaos Shield,폭풍의 눈,안전한 피난처,风暴之眼,安全避风港,台風の目,安全な避難所,Ojo de la Tormenta,Refugio Seguro,전쟁이나 금융 위기 같은 대격변의 시기에도 소지자가 속한 영역은 기적적으로 평온을 유지합니다. 주변이 모두 무너질 때 혼자만 최고의 수익률을 올리며 위기를 기회로 바꾸는 기적을 행합니다.,epic,wind,"(소통, 속도, 정보 전파)","Maintains miraculous tranquility in the holder's domain even during upheavals like war, keeping assets and safety protected.",即使在战争或金融危机等大剧变时期，持有者所属的领域也能奇迹般地保持平静，保护资产和安全。,戦争や金融危機のような大激変の時期でも、持ち主が属する領域は奇跡的に平穏を維持し、資産と安全を完璧に守り抜きます。,"Mantiene una tranquilidad milagrosa incluso en tiempos de agitación, manteniendo los activos y la seguridad bajo protección total.",49
Whirlwind of Opportunity,Infinite Chance,기회의 바람,끊임없는 제안,机遇之风,源源不断的提议,好機の風,絶え間ない提案,Vientos de Oportunidad,Ofertas Perpetuas,"사방에서 기회의 바람이 불어옵니다. 가만히 있어도 좋은 제안, 투자 기회, 인연이 끊임없이 찾아오며 인생에서 '운이 없다'는 말이 소지자의 사전에서 영원히 사라지게 만듭니다.",epic,wind,"(소통, 속도, 정보 전파)","Brings winds of opportunity from all directions, ensuring proposals and connections constantly arrive even if staying still.",来自四面八方的机会之风吹来，即使坐着不动，好的提议、投资机会和人脉也会不断涌现。,四方からチャンスの風が吹き込み、じっとしていても、良い提案や投資機会、縁が絶え間なく押し寄せるようになります。,"Atrae vientos de oportunidad de todas las direcciones, asegurando que las propuestas y conexiones lleguen constantemente.",50
Breath of the World Spirit,Omnipresent Mind,세계 맥동의 통찰,실시간 자각,世界脉动洞察,实时觉知,世界の脈動の洞察,リアルタイム自覚,Perspicacia del Pulso del Mundo,Conciencia en Tiempo Real,"전 세계의 정보를 실시간으로 호흡하듯 파악합니다. 어떤 사건이 일어나기도 전에 그 징조를 느끼며, 지구 반대편의 기회조차 내 손 안의 일처럼 다루는 초국가적 지배력을 선사합니다.",legendary,wind,"(소통, 속도, 정보 전파)","Grasps global information in real-time as if breathing, detecting signs of events before they happen to stay ahead.",像呼吸一样实时掌握全球信息，在事件发生前察觉征兆，始终领先一步。,全世界の情報をリアルタイムで呼吸するように把握し、事件が起こる前にその兆候を察知して、常に一歩先を行かせます。,"Capta la información global en tiempo real como si respirara, detectando signos de eventos antes de que sucedan para ir siempre un paso adelante.",51
Infinite Gale of Freedom,Cosmic Traveler,창공의 자유,무한한 해방,苍穹之自由,无限解放,蒼穹の自由,無限の解放,Libertad del Firmamento,Liberación Infinita,"모든 사회적 굴레와 물리적 한계에서 벗어납니다. 돈, 시간, 공간에 얽매이지 않고 자신이 원하는 삶을 즉각적으로 실현하며, 누구에게도 구속받지 않는 완전한 자유의 존재가 됩니다.",legendary,wind,"(소통, 속도, 정보 전파)","Frees the holder from all social constraints and physical limits, allowing a life defined solely by one's own will.",摆脱所有社会束缚和物理限制，不受金钱、时间、空间的束缚，过上由自己意志定义的生活。,あらゆる社会的束縛と物理的限界から解放し、金、時間、空間に縛られず、自分の意志だけで定義される人生を歩ませます。,"Libera al poseedor de todas las limitaciones sociales y físicas, permitiendo una vida definida únicamente por su propia voluntad.",52
Glow of Confidence,Aura Glow,첫인상의 광택,즉각적인 호감,初见之光泽,瞬间好感,初対面の光沢,即座の好感,Lustre de Primera Impresión,Favor Inmediato,면접이나 첫 만남에서 소지자의 인상을 빛나게 만듭니다. 특별한 말을 하지 않아도 긍정적이고 정직한 사람이라는 확신을 주어 상대의 경계심을 즉각 해제하는 빛의 장막을 형성합니다.,common,light,"(진실, 명성, 영감)","Makes the holder's impression shine during meetings, creating a positive image that makes others want to work together.",在面试或初次见面中使持有者的印象闪闪发光，营造积极好感的形象，使对方产生强烈的合作欲望。,面接や初対面で持ち主の印象を輝かせ、特別な言葉がなくてもポジティブで好感の持てるイメージを植え付けます。,"Hace que la impresión del poseedor brille en las reuniones, creando una imagen positiva que atrae a los demás a colaborar.",53
Prism of Clarity,Data Shined,지표의 조명자,수치의 명료함,指标照明者,数据清晰,指標の照明者,数値の明瞭さ,Iluminador de Métricas,Claridad Numérica,복잡한 엑셀 시트나 난해한 보고서 속에서 핵심적인 수치와 문제점을 빛으로 비추듯 강조해 보여줍니다. 정보의 홍수 속에서 길을 잃지 않고 최선의 전략을 수립하게 돕습니다.,common,light,"(진실, 명성, 영감)","Highlights key figures and problems in complex reports as if illuminating them with light, allowing for accurate decisions.",在复杂的表格或艰涩的报告中，像用光照射一样突出核心数值和问题点，实现快速准确的决策。,複雑な資料や難解な報告書の中から、核心的な数値と問題点を光で照らすように強調し、迅速で正確な意思決定を助けます。,"Resalta cifras y problemas clave en informes complejos como if los iluminara con luz, permitiendo decisiones rápidas y precisas.",54
Flicker of Hope,Depression Burner,긍정의 햇살,절망의 소멸,乐观之阳光,焚毁绝望,肯定の陽光,絶望の消滅,Brillo de Positivismo,Extintor de Desesperación,마음속에 스며드는 우울함과 무력감을 순식간에 태워버립니다. 매일 아침 태양을 본 듯한 긍정적인 에너지를 주입하여 다시 일어서서 나아갈 수 있는 내면의 빛을 유지합니다.,common,light,"(진실, 명성, 영감)","Instantly burns away depression and helplessness, maintaining a positive and energetic mind as if seeing the sun every morning.",瞬间烧掉渗入内心的忧郁和无力感，每天早晨保持如同见到太阳般积极充满活力的心态。,心に忍び込む憂鬱感や無力感を瞬時に焼き払い、毎朝太陽を見たようなポジティブで活力に満ちたマインドを維持させます。,"Quema instantáneamente la depresión y la impotencia, manteniendo una mente positiva y enérgica como si viera el sol cada mañana.",55
Beacon of Leadership,Guiding Light,지도력의 등대,명확한 방향,领导力之灯塔,明确方向,指導力の灯台,명확한 방향성,Faro de Liderazgo,Dirección Clara,"어두운 상황에서도 팀원들이 믿고 따를 수 있는 명확한 방향성을 제시합니다. 소지자의 말은 곧 신념이 되며, 혼란에 빠진 조직을 승리로 이끄는 고귀한 리더의 품격을 부여합니다.",uncommon,light,"(진실, 명성, 영감)","Provides a clear direction for team members even in dark situations, making the holder's words a lighthouse for the organization.",即使在黑暗的情况下，也为团队成员提供可以信任并追随的明确方向，使持有者的言论成为整个组织的灯塔。,暗い状況でもチームメンバーが信じて従える明確な方向性を提示し、持ち主の言葉を組織全体の灯台へと変えます。,"Proporciona una dirección clara para el equipo incluso en situaciones oscuras, convirtiendo las palabras del poseedor en un faro.",56
Ray of Aesthetics,Golden Ratio,신성한 미학석,거장의 손길,神圣美学石,大师之触,神聖な美学石,巨匠の手法,Piedra Estética Divina,Toque del Maestro,"디자인, 패션, 예술 등 모든 미적인 분야에서 신적인 감각을 일깨웁니다. 소지자가 손대는 모든 결과물은 대중이 가장 아름답다고 느끼는 황금 비율을 갖추게 되어 명품의 반열에 오릅니다.",uncommon,light,"(진실, 명성, 영감)","Awakens a divine sense in all aesthetic fields, making everything the holder touches a luxury and a work of art.",在设计、时尚、艺术等所有审美领域觉醒神一般的感官，使持有者接触的一切都成为奢侈品和艺术品。,デザイン、ファッション、アートなどの美的分野で神がかった感覚を呼び覚まし、手がけるものすべてを芸術作品へと変えます。,"Despierta un sentido divino en todos los campos estéticos, convirtiendo todo lo que toca el poseedor en una obra de arte.",57
Halogen of Efficiency,Visual Memory,순간 기억의 수정,완전한 회상,瞬间记忆水晶,完美回想,瞬間記憶の水晶,完全なる回想,Cristal de Memoria Flash,Recuerdo Total,한 번 본 장면이나 문서를 사진 찍듯 머릿속에 밝게 저장합니다. 필요할 때마다 그 기억의 조명을 켜서 정확한 정보를 인출하게 하여 시험이나 미팅에서 완벽한 지적 능력을 뽐내게 합니다.,uncommon,light,"(진실, 명성, 영감)","Stores every scene or document seen once in the mind clearly like a photograph, retrieving information with 100% accuracy.",像拍照一样将看过的场景或文档清晰地存储在脑海中，需要时以100%的准确度提取该记忆。,一度見た場面や文書を写真に撮るように脳内へ鮮明に保存し、必要な時にいつでも100%正確に引き出せるようにします。,"Almacena cada escena o documento visto en la mente con la claridad de una fotografía, recuperando la información con total precisión.",58
Supernova of Stardom,Global Influence,떠오르는 별의 보석,글로벌 인플루언스,冉冉新星石,全球影响力,昇る星の宝石,グローバルな影響力,Joya de Estrella Naciente,Influencia Global,소지자의 진정성이 전 세계에 알려지며 강력한 팬덤을 형성하고 긍정적인 사회적 유행을 선도하게 합니다.,rare,light,"(진실, 명성, 영감)","Spreads the holder's authenticity globally, building a powerful following and leading positive social trends.",向全球传播持有者的真实性，建立强大的粉丝群并引领积极的社会潮流。,持ち主の真実性が世界中に広まり、強力なファン層を形成して肯定的な社会的流行を先導するようにします。,"Difunde la autenticidad del poseedor globalmente, creando seguidores poderosos y liderando tendencias sociales positivas.",59
Verdict Radiance,Legal Aegis,정의의 빛,진실의 증거,正义之光,真相之证,正義の光,真実の証明,Luz de Justicia,Prueba de la Verdad,"법적인 분쟁이나 억울한 누명 속에서 진실의 빛을 밝힙니다. 결정적인 증거가 소지자에게 유리하게 발견되거나, 판관의 마음을 움직여 정의로운 승리를 쟁취하게 하는 무적의 보호막을 제공합니다.",rare,light,"(진실, 명성, 영감)","Illuminates the light of truth in legal disputes, causing decisive evidence to turn in the holder's favor to clear suspicions.",在法律纠纷或冤屈的指责中照亮真理之光，使决定性的证据向有利于持有者的方向发展，洗清所有嫌疑。,法的な紛争や冤罪の中で真実の光を照らし、決定的な証拠を持ち主に有利に働かせ、すべての疑いを晴らします。,"Ilumina la luz de la verdad en disputas legales, logrando que las pruebas decisivas favorezcan al poseedor para limpiar su nombre.",60
Flash of Pure Genius,Eureka Instant,깨달음의 금강석,즉각적 해답,悟之金刚石,瞬间解答,悟りの金剛石,即座の解答,Diamante de Iluminación,Respuesta Instantánea,수년간 고민해도 풀리지 않던 난제에 대해 찰나의 순간 완벽한 해답을 보여줍니다. 노벨상급의 학술적 발견이나 시장을 뒤흔들 발명품을 탄생시키는 결정적인 영감의 섬광을 내립니다.,rare,light,"(진실, 명성, 영감)","Shows the perfect answer in an instant for challenges unsolved for years, granting brilliance for Nobel-level breakthroughs.",对数年无法解决的难题瞬间给出完美的答案，赋予实现诺贝尔奖级突破的才华。,数年間悩んでも解けなかった難題に対し、刹那の瞬間に完璧な解答を見せ、ノーベル賞級のブレイクスルーを成し遂げさせます。,"Muestra la respuesta perfecta en un instante para desafíos de años, otorgando brillantez para avances de nivel Nobel.",61
Golden Ratio Diamond,Perfectionist Edge,업계 표준의 황금,절대적 기준,行业标准之金,绝对基准,業界標準の黄金,絶対的な基準,Oro de Estándar Industrial,Punto de Referencia Absoluto,소지자가 만드는 모든 제품이나 서비스가 업계의 표준(Standard)이 되게 합니다. 감히 넘볼 수 없는 완성도를 갖추게 하여 경쟁자들을 스스로 포기하게 만드는 압도적인 격의 차이를 만듭니다.,epic,light,"(진실, 명성, 영감)","Ensures every product or service created becomes the industry standard, making competitors follow the paved path.",使持有者制造的所有产品或服务成为行业标准，让竞争对手只能追随持有者开辟的道路。,持ち主が作るすべての製品やサービスが業界の標準となり、競合他社は持ち主が作った道を追いかけるしかなくなります。,"Asegura que cada producto o servicio creado sea el estándar de la industria, obligando a los competidores a seguir su camino.",62
Aureola of Influence,Savior’s Charisma,희망의 봉화,구원자의 휘광,希望之烽火,救世主之光芒,希望の烽火,救済者の輝き,Faro de Esperanza,Carisma del Salvador,"소지자의 존재 자체가 사람들에게 구원이자 희망이 됩니다. 소지자의 신념을 따르는 거대 종교나 사상적 집단이 형성되며, 세상을 선한 방향으로 개혁하는 신성한 권력을 소유하게 됩니다.",epic,light,"(진실, 명성, 영감)","Makes the holder's existence a source of salvation and hope, gathering a massive following that respects their beliefs.",使持有者的存在本身成为人们的救赎和希望，聚集起追随持有者信念的庞大信众和尊敬。,持ち主の存在自体が人々にとって救いであり希望になります。その信念に従う巨大な支持と尊敬を集めるようになります。,"Hace que la existencia misma del poseedor sea una fuente de salvación, reuniendo un seguimiento masivo que respeta sus creencias.",63
Nova of Enlightenment,Clarity of Insight,깨달음의 신성,명료한 통찰,觉醒之新星,清晰洞察,覚醒の新星,明瞭な洞察,Nova de Iluminación,Claridad de Visión,복잡한 세상 이면의 패턴을 꿰뚫어 보는 지적 통찰력을 주어 혼란 속에서도 명확한 최선의 해답을 찾게 합니다.,legendary,light,"(진실, 명성, 영감)","Grants intellectual insight to see through complex patterns, finding the clearest and best solutions amidst confusion.",赋予洞察复杂模式的智力见解，在混乱中找到最清晰、最好的解决方案。,複雑な世界の裏側にあるパターンを見抜く知的な洞察力を与え、混乱の中でも明快な最善の解を見つけ出します。,"Brinda una visión intelectual para discernir patrones complejos, encontrando las mejores soluciones en la confusión.",64
Solaris Core,Creator’s Will,태양의 핵,창조주의 의지,烈阳之核心,创造者之意志,太陽の核,創造主の意志,Núcleo de Solaris,Voluntad del Creador,"소지자의 의지 자체가 곧 법과 진리가 됩니다. 빛이 세상을 창조하듯 소지자가 말하는 대로 새로운 질서가 세워지며, 인류 역사를 자신의 손으로 직접 써 내려가는 신적인 권능을 행사합니다.",legendary,light,"(진실, 명성, 영감)","Makes the holder's will itself the law and truth, granting the power to make things happen exactly as spoken.",使持有者的意志本身成为法律和真理，赋予言出法随的力量，如同光创造世界一般。,持ち主の意志自体が法であり真理となります。光が世界を創造したように、持ち主が言う通りに事が成る権能を与えます。,"Hace que la voluntad del poseedor sea la ley y la verdad, otorgando el poder de que las cosas sucedan tal como se dicen.",65
Shadow Wrap,Privacy Shield,그림자 외피,사생활의 방패,阴影外壳,隐私护盾,影の外皮,プライバシーの盾,Envoltura de Sombra,Escudo de Privacidad,"온라인과 오프라인에서 자신의 개인정보와 사생활을 완벽하게 은닉합니다. 해커나 스토커의 추적을 물리적으로 차단하며, 소지자가 원치 않는 정보는 세상 그 누구도 찾아낼 수 없게 감춥니다.",common,darkness,"(비밀, 심리, 그림자 권력)","Completely conceals personal information and privacy online and offline, erasing digital footprints from trackers.",在网络和现实中完美隐藏个人信息和隐私，使黑客或跟踪者无法追踪持有者的数字足迹。,オンラインとオフラインで自分の個人情報とプライバシーを完璧に隠匿し、追跡者からデジタル足跡を完全に消去します。,"Oculta la información personal y la privacidad en línea y fuera de línea, borrando las huellas digitales de cualquier rastreador.",66
Ink-Spot Onyx,Strategic Silence,칠흑의 마노,전략적 정적,墨色玛瑙,战略性缄默,漆黒の瑪瑙,戦略的な沈黙,ónice de Mancha de Tinta,Silencio Estratégico,"불필요한 말을 아끼고 상대를 관찰하는 침착함을 줍니다. 적절한 타이밍에 침묵함으로써 상대방이 스스로 패를 드러내게 만들고, 협상에서 우위를 점하는 그림자의 지혜를 선사합니다.",common,darkness,"(비밀, 심리, 그림자 권력)","Grants the calmness to observe the opponent, dominating the atmosphere by remaining silent at the right timing.",赋予省去不必要的言语并观察对方的冷静，通过在适当的时机保持沉默来支配现场氛围。,不必要な言葉を控え、相手を観察する冷静さを与えます。適切なタイミングで沈黙することで、その場の空気を支配させます。,"Otorga la calma para observar al oponente, dominando la atmósfera al permanecer en silencio en el momento adecuado.",67
Velvet Night,Instant Hibernation,벨벳의 밤,즉각적 동면,丝绒之夜,瞬间休眠,ベルベットの夜,即座の冬眠,Noche de Terciopelo,Hibernación Instantánea,단 10분만 눈을 붙여도 5시간을 잔 듯한 깊은 숙면 효과를 줍니다. 소음과 빛을 완벽히 차단하는 정신적 장막을 형성하여 언제 어디서든 뇌를 완벽히 충전할 수 있게 합니다.,common,darkness,"(비밀, 심리, 그림자 권력)","Provides the effect of a deep 5-hour sleep in just 10 minutes, maintaining peak condition regardless of noise or light.",仅闭眼10分钟就能获得如同深度睡眠5小时的效果，无论噪音或光线如何都能维持巅峰体能。,わずか10分目を閉じるだけで、5時間眠ったような深い熟眠効果を与え、最高の体調を維持させます。,"Brinda el efecto de un sueño profundo de 5 horas en solo 10 minutos, manteniendo la condición física óptima.",68
